sampleNumber,e,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
1,2.293451,0.715177,0.403309,0.076310,0.656274,-0.076891,-0.750594,0.798560,-0.261338,-0.542222,44.478400,0.871382,0.645842,0.459403,5.869681,0.260797,0.098856,0.666970,0.960784,0.392157,0.086275
2,-3.065316,0.948929,0.052922,0.746650,0.462819,0.180436,-0.867895,0.051907,0.119039,-0.991532,0.899156,0.253247,0.933925,0.804353,0.325657,0.779354,0.795491,0.131569,1.000000,0.121569,0.862745
3,9.088900,0.079233,0.079370,0.984189,-0.225949,0.814833,-0.533849,0.081296,0.626079,-0.775510,469.210600,0.522135,0.213785,0.737605,470.603600,0.274609,0.037845,0.709923,0.031373,0.007843,0.784314
4,3.721561,0.286881,0.881983,0.963825,-0.513639,0.636218,-0.575675,-0.069145,0.147462,-0.986648,111.416300,0.694346,0.927968,0.883290,35.381350,0.824185,0.764185,0.551970,0.450980,1.000000,1.000000
5,6.790402,0.290066,0.220648,0.475923,-0.064721,0.300382,-0.951621,0.367738,0.677958,-0.636507,874.302100,0.408049,0.908575,0.384322,47.502550,0.537292,0.363957,0.888725,0.184314,0.266667,0.345098
6,-1.872247,0.438153,0.766724,0.789563,0.048758,-0.452049,-0.890660,0.491086,-0.326613,-0.807563,1.149203,0.438387,0.552292,0.822294,0.746846,0.028540,0.295452,0.508014,0.211765,0.741177,1.000000
7,3.156261,0.093832,0.420577,0.386650,-0.502635,0.543103,-0.672604,-0.077201,-0.245631,-0.966285,4.379277,0.505681,0.160407,0.729578,23.600610,0.430830,0.101581,0.066853,0.098039,0.200000,0.160784
8,0.774682,0.720166,0.291355,0.588229,-0.256501,-0.549844,-0.794908,0.546401,-0.348614,-0.761522,15.881190,0.497682,0.232470,0.498395,0.207722,0.690660,0.879562,0.249568,0.482353,0.109804,0.368628
9,5.144292,0.300798,0.149684,0.219271,0.647894,-0.464971,-0.603354,0.630786,-0.509404,-0.585335,45.881230,0.209474,0.494356,0.136363,63.199410,0.891476,0.999608,0.399182,0.349020,0.196078,0.168628
10,-0.575824,0.178360,0.924365,0.901710,0.071498,-0.006554,-0.997419,0.652749,0.396453,-0.645557,1.623705,0.054939,0.200819,0.171400,1.784671,0.428589,0.970175,0.999761,0.172549,1.000000,1.000000
11,2.561397,0.921783,0.715016,0.985454,-0.361351,-0.768277,-0.528372,0.079286,-0.632044,-0.770866,8.691626,0.603805,0.388188,0.606693,9.152085,0.336136,0.170206,0.700057,0.701961,0.384314,0.988235
12,-0.286257,0.663368,0.249115,0.226541,0.630042,0.434462,-0.643654,-0.232892,-0.143223,-0.961898,6.319542,0.950930,0.553683,0.237850,1.573059,0.864157,0.664369,0.014515,0.921569,0.278431,0.039216
13,-3.280681,0.655467,0.062979,0.697897,-0.602863,-0.501348,-0.620650,0.424324,-0.676061,-0.602404,0.303031,0.470863,0.159743,0.465549,0.170508,0.845381,0.880890,0.017401,0.721569,0.086275,0.219608
14,-2.538210,0.666818,0.124772,0.887893,0.133203,0.835126,-0.533686,-0.720064,-0.112642,-0.684704,0.772949,0.113672,0.277865,0.375921,0.054288,0.055421,0.134931,0.631016,0.078431,0.011765,0.411765
15,6.053766,0.458532,0.873615,0.855384,-0.063657,0.100413,-0.992907,0.752355,-0.384514,-0.534894,504.699000,0.047697,0.032697,0.778306,142.530800,0.617386,0.900204,0.791163,0.478431,1.000000,1.000000
16,8.038697,0.408095,0.513131,0.837939,-0.739660,0.351418,-0.573942,0.759746,-0.246655,-0.601620,823.555100,0.623814,0.677115,0.188909,594.308100,0.514613,0.484319,0.183794,0.403922,0.494118,0.517647
17,-2.013046,0.150606,0.103702,0.681683,-0.012284,0.523702,-0.851813,0.618118,0.388923,-0.683132,1.946567,0.344736,0.266110,0.725808,0.373253,0.713457,0.140621,0.027912,0.152941,0.039216,0.619608
18,-3.940225,0.242691,0.568836,0.117626,0.284558,-0.702009,-0.652848,0.843339,-0.117265,-0.524432,0.297813,0.638338,0.333273,0.687821,0.050705,0.418804,0.696395,0.224124,0.180392,0.419608,0.078431
19,0.357424,0.120877,0.717690,0.409610,0.559712,-0.172964,-0.810436,-0.771219,-0.118063,-0.625526,4.979792,0.253679,0.730384,0.181369,2.714905,0.518129,0.021301,0.128353,0.113726,0.219608,0.192157
20,7.392265,0.007872,0.647594,0.889785,0.204945,-0.257155,-0.944388,-0.296884,0.346815,-0.889707,686.570900,0.573839,0.882821,0.359923,442.310800,0.261637,0.359094,0.295920,0.007843,0.737255,0.764706
21,9.391219,0.064431,0.125053,0.514072,0.604031,0.542280,-0.584019,-0.753144,0.102585,-0.649809,1467.415000,0.316390,0.475523,0.509027,365.647300,0.290561,0.653497,0.153798,0.015686,0.058824,0.133333
22,6.811597,0.221497,0.451237,0.165668,-0.060780,0.563982,-0.823547,-0.208354,0.621102,-0.755527,971.298300,0.541847,0.101672,0.847526,79.048360,0.127762,0.326978,0.816141,0.176471,0.211765,0.239216
23,9.171583,0.065946,0.055024,0.857661,0.439631,-0.445659,-0.779816,-0.160980,0.398672,-0.902854,2157.802000,0.947411,0.058019,0.197437,1395.492000,0.578549,0.254462,0.633421,0.094118,0.035294,0.956863
24,7.707564,0.223491,0.325423,0.181118,-0.754833,0.187109,-0.628664,-0.257488,0.795661,-0.548292,1846.409000,0.950466,0.696142,0.852246,137.004500,0.731491,0.788484,0.158519,0.305882,0.349020,0.200000
25,8.093062,0.869082,0.780554,0.749166,0.660301,0.530455,-0.531620,0.195811,0.102040,-0.975318,1230.809000,0.489495,0.425492,0.789784,131.701000,0.497651,0.666431,0.782980,0.549020,0.505882,0.674510
26,9.699591,0.719014,0.674692,0.025321,-0.143539,0.012800,-0.989562,-0.660451,0.197356,-0.724469,1852.451000,0.915444,0.297836,0.538049,274.712200,0.723910,0.770971,0.152539,0.560784,0.352941,0.007843
