sampleNumber,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
2,0.650582,0.356642,0.296192,0.696946,-0.458541,-0.551369,-0.712043,0.383955,-0.587855,Infinity,0.223160,0.077452,0.854478,0.052337,0.975529,0.107462,0.321610,0.713726,0.576471,0.494118
3,0.403292,0.245073,0.282385,-0.595597,0.038392,-0.802365,0.556086,0.366472,-0.745967,3.864141,0.826802,0.995096,0.213252,0.469015,0.354201,0.843702,0.673692,0.490196,0.450980,0.392157
4,0.116822,0.559549,0.299172,0.299946,0.356996,-0.884639,-0.761347,0.094133,-0.641475,5.413102,0.079072,0.536055,0.310866,0.068728,0.300233,0.694209,0.288389,0.156863,0.498039,0.282353
5,0.431927,0.719518,0.771008,-0.338618,0.241030,-0.909529,0.836868,0.118448,-0.534437,4.611847,0.500054,0.075927,0.283586,0.096844,0.240880,0.160577,0.852212,0.368628,0.321569,0.501961
6,0.595021,0.712555,0.220321,-0.495881,-0.418828,-0.760714,0.655422,0.174719,-0.734775,13.204900,0.218086,0.974574,0.785178,0.005336,0.722730,0.780194,0.180388,0.329412,0.733333,0.372549
7,0.030679,0.420350,0.774062,0.005599,-0.042390,-0.999085,0.157995,-0.551778,-0.818888,1.353333,0.325362,0.519029,0.534802,0.151258,0.848848,0.387237,0.202507,0.160784,0.396079,0.521569
8,0.147242,0.965277,0.896826,0.422015,0.436478,-0.794601,0.007807,0.518950,-0.854769,0.636537,0.823150,0.427120,0.061380,0.157767,0.897892,0.005235,0.996078,0.278431,0.419608,0.596079
9,0.714946,0.981241,0.457305,-0.056153,-0.100199,-0.993382,-0.161281,-0.568812,-0.806499,1.270865,0.389122,0.562321,0.297848,0.219715,0.884593,0.355078,0.215135,0.584314,0.639216,0.352941
10,0.600015,0.331892,0.479598,0.263119,0.577747,-0.772643,-0.002757,0.078843,-0.996883,0.527621,0.034624,0.986264,0.960651,0.726715,0.620563,0.410786,0.445934,0.615686,0.458824,0.549020
11,0.075853,0.783620,0.917694,-0.260477,-0.053638,-0.963989,-0.454945,-0.356993,-0.815832,2.039573,0.886766,0.576379,0.908858,0.049052,0.935864,0.562790,0.432195,0.254902,0.592157,0.784314
12,0.690644,0.882058,0.607184,0.654252,0.382284,-0.652544,0.502131,-0.438953,-0.745107,0.101548,0.335303,0.831783,0.157957,0.005588,0.738667,0.037780,0.417187,0.235294,0.337255,0.180392
13,0.380906,0.360296,0.376299,0.811238,-0.206226,-0.547142,0.065070,-0.814668,-0.576265,0.873331,0.932557,0.405882,0.038772,0.233974,0.122489,0.050855,0.800793,0.384314,0.254902,0.396079
14,0.196025,0.999429,0.168696,0.653143,-0.017430,-0.757034,0.171654,0.038843,-0.984391,0.213190,0.978703,0.561041,0.051927,0.551504,0.089942,0.581727,0.440477,0.254902,0.752941,0.294118
15,0.530801,0.491741,0.354595,0.819575,0.070848,-0.568575,0.157856,0.076582,-0.984488,0.876837,0.724718,0.657049,0.148332,0.829293,0.411118,0.537764,0.307950,0.576471,0.576471,0.419608
16,0.242257,0.779173,0.452101,-0.100057,-0.703479,-0.703638,-0.193526,-0.230435,-0.953650,0.454635,0.041137,0.838326,0.515625,0.651481,0.550975,0.388993,0.837182,0.380392,0.662745,0.568628
