m_r,m_g,m_b,x,y,z
0.00,0.00,0.00,3.959,9.286,3.549
0.10,0.00,0.00,7.525,9.329,4.379
0.00,0.10,0.00,3.549,8.890,4.587
0.00,0.00,0.10,3.824,5.435,4.156
0.10,0.10,0.10,7.693,11.178,4.574
0.20,0.00,0.00,13.052,12.753,6.238
0.00,0.20,0.00,4.609,14.245,6.309
0.00,0.00,0.20,3.595,9.872,7.661
0.20,0.20,0.20,14.140,18.656,9.684
0.30,0.00,0.00,18.954,15.931,7.542
0.00,0.30,0.00,6.378,19.454,5.125
0.00,0.00,0.30,5.118,8.240,11.655
0.30,0.30,0.30,22.905,29.452,13.972
0.40,0.00,0.00,26.267,22.131,7.180
0.00,0.40,0.00,7.492,26.434,5.945
0.00,0.00,0.40,4.481,11.760,15.342
0.40,0.40,0.40,30.840,42.498,20.423
0.50,0.00,0.00,37.840,27.111,8.732
0.00,0.50,0.00,11.053,36.002,8.362
0.00,0.00,0.50,7.010,10.695,21.116
0.50,0.50,0.50,43.852,58.442,29.201
0.60,0.00,0.00,44.468,31.958,9.734
0.00,0.60,0.00,12.103,47.601,8.880
0.00,0.00,0.60,8.111,16.461,31.324
0.60,0.60,0.60,60.871,79.474,38.375
0.70,0.00,0.00,54.895,35.691,10.349
0.00,0.70,0.00,13.676,63.616,9.458
0.00,0.00,0.70,10.362,15.354,38.075
0.70,0.70,0.70,72.722,99.458,49.889
0.80,0.00,0.00,68.844,45.593,12.290
0.00,0.80,0.00,17.818,76.233,10.982
0.00,0.00,0.80,9.892,20.661,49.431
0.80,0.80,0.80,90.059,122.835,64.457
0.90,0.00,0.00,80.034,50.790,12.816
0.00,0.90,0.00,21.239,90.389,11.998
0.00,0.00,0.90,13.763,24.849,62.148
0.90,0.90,0.90,105.099,149.504,79.320
1.00,0.00,0.00,93.484,58.382,15.446
0.00,1.00,0.00,25.009,107.662,13.490
0.00,0.00,1.00,13.335,27.611,74.475
1.00,1.00,1.00,123.341,178.130,92.959
