sampleNumber,e,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
1,0.000000,0.272187,0.576343,0.549051,0.042382,0.048886,-0.997905,-0.127743,0.066018,-0.989608,2.205018,0.905728,0.988779,0.508297,0.480934,0.657745,0.039339,0.195809,0.529412,0.760784,0.733333
2,0.000000,0.660894,0.504171,0.872844,0.035014,-0.317303,-0.947678,-0.076792,0.138936,-0.987320,5.250639,0.730556,0.091042,0.378619,1.046730,0.144597,0.691152,0.179957,0.815686,0.713726,0.929412
3,0.000000,0.169473,0.267824,0.999317,-0.587811,0.366130,-0.721406,-0.645577,-0.528135,-0.551637,4.562741,0.128149,0.909150,0.247417,1.806231,0.239272,0.100566,0.252940,0.431373,0.529412,0.996079
4,0.000000,0.894835,0.221321,0.543758,-0.389702,0.527868,-0.754644,-0.261319,0.487687,-0.832991,4.469778,0.175419,0.747747,0.111173,0.747863,0.999027,0.568759,0.751342,0.941177,0.482353,0.733333
5,0.000000,0.651549,0.744570,0.020497,0.180886,0.296200,-0.937841,0.545308,0.401113,-0.736035,3.520573,0.167243,0.516054,0.413681,1.099749,0.948755,0.329500,0.471944,0.803922,0.862745,0.196078
6,0.000000,0.217015,0.113258,0.198706,-0.303538,0.350890,-0.885856,0.013548,-0.432070,-0.901738,5.696797,0.456064,0.261407,0.145120,1.636689,0.909232,0.301111,0.477089,0.474510,0.360784,0.450980
7,0.000000,0.380976,0.152286,0.441899,0.093368,0.802826,-0.588857,0.337658,-0.328606,-0.882046,4.963864,0.699441,0.726773,0.535687,0.522090,0.756082,0.640953,0.181834,0.615686,0.407843,0.658824
8,0.000000,0.649048,0.334767,0.055836,0.319757,-0.795274,-0.515068,-0.238173,0.511430,-0.825659,2.391038,0.759216,0.856024,0.818522,0.299130,0.196909,0.181195,0.857586,0.803922,0.588235,0.282353
9,0.000000,0.336794,0.586627,0.801141,0.271468,-0.813160,-0.514856,0.346456,-0.653678,-0.672810,4.245140,0.906628,0.811246,0.227779,0.740922,0.215003,0.814572,0.008147,0.588235,0.764706,0.886275
10,0.000000,0.729549,0.324562,0.361729,-0.314070,-0.339255,-0.886716,0.289133,-0.744458,-0.601818,3.731706,0.925849,0.223462,0.697824,0.536685,0.390859,0.232936,0.166312,0.850981,0.576471,0.607843
11,0.000000,0.522296,0.170558,0.928222,0.699339,0.469299,-0.539151,0.279205,0.277042,-0.919398,0.472447,0.236958,0.659429,0.115216,1.727865,0.403241,0.307739,0.465399,0.721569,0.431373,0.956863
12,0.000000,0.371552,0.668978,0.686694,0.003857,-0.634977,-0.772521,0.366475,-0.443831,-0.817747,6.274342,0.782890,0.960391,0.609785,1.240208,0.492144,0.123021,0.891869,0.615686,0.815686,0.819608
13,0.000000,0.727899,0.100520,0.186808,-0.553449,0.471909,-0.686292,-0.790618,-0.326536,-0.517975,4.781134,0.447469,0.730402,0.230201,1.857621,0.757597,0.902270,0.884458,0.850981,0.349020,0.447059
14,0.000000,0.892260,0.414853,0.493371,0.584443,0.021338,-0.811154,-0.132518,0.353667,-0.925937,4.256377,0.032087,0.604908,0.630391,0.893634,0.642852,0.805445,0.913037,0.941177,0.647059,0.701961
15,0.000000,0.312702,0.691391,0.709865,0.351486,0.624906,-0.697101,-0.400987,-0.360102,-0.842340,4.056634,0.694309,0.455810,0.067437,0.029933,0.263116,0.787134,0.552872,0.568628,0.831373,0.839216
16,0.000000,0.180897,0.480737,0.966023,0.138128,0.652990,-0.744664,0.086565,-0.346545,-0.934031,3.082553,0.683114,0.887545,0.414325,0.803337,0.562489,0.417230,0.537664,0.443137,0.694118,0.980392
17,0.000000,0.198319,0.134239,0.394428,0.239829,-0.543693,-0.804288,-0.136014,-0.840442,-0.524554,1.719636,0.235656,0.808450,0.769419,1.239227,0.669799,0.420599,0.961583,0.458824,0.388235,0.635294
18,0.000000,0.617182,0.288886,0.322426,0.460085,-0.237928,-0.855402,0.546219,-0.654318,-0.522985,3.758295,0.717109,0.637580,0.080396,0.867315,0.121961,0.684635,0.292710,0.788235,0.545098,0.576471
