delta_m,i_d,v_r,v_g,v_b
1,0.000100000,0.003922,0.003922,0.003922
1,0.000101000,0.000000,0.000000,0.000000
1,0.000102010,0.000000,0.000000,0.000000
1,0.000103030,0.003922,0.003922,0.003922
1,0.000104060,0.000000,0.000000,0.000000
1,0.000105101,0.000000,0.000000,0.000000
1,0.000106152,0.003922,0.003922,0.003922
1,0.000107214,0.000000,0.000000,0.000000
1,0.000108286,0.003922,0.003922,0.003922
1,0.000109369,0.000000,0.000000,0.000000
1,0.000110462,0.000000,0.000000,0.000000
1,0.000111567,0.000000,0.000000,0.000000
1,0.000112683,0.000000,0.000000,0.000000
1,0.000113809,0.000000,0.000000,0.000000
1,0.000114947,0.003922,0.003922,0.003922
1,0.000116097,0.003922,0.003922,0.003922
1,0.000117258,0.003922,0.003922,0.003922
1,0.000118430,0.000000,0.000000,0.000000
1,0.000119615,0.000000,0.000000,0.000000
1,0.000120811,0.003922,0.003922,0.003922
1,0.000122019,0.000000,0.000000,0.000000
1,0.000123239,0.000000,0.000000,0.000000
1,0.000124472,0.003922,0.003922,0.003922
1,0.000125716,0.000000,0.000000,0.000000
1,0.000126973,0.003922,0.003922,0.003922
1,0.000128243,0.000000,0.000000,0.000000
1,0.000129526,0.000000,0.000000,0.000000
1,0.000130821,0.000000,0.000000,0.000000
1,0.000132129,0.000000,0.000000,0.000000
1,0.000133450,0.000000,0.000000,0.000000
1,0.000134785,0.003922,0.003922,0.003922
1,0.000136133,0.003922,0.003922,0.003922
1,0.000137494,0.003922,0.003922,0.003922
1,0.000138869,0.000000,0.000000,0.000000
1,0.000140258,0.000000,0.000000,0.000000
1,0.000141660,0.003922,0.003922,0.003922
1,0.000143077,0.000000,0.000000,0.000000
1,0.000144508,0.000000,0.000000,0.000000
1,0.000145953,0.003922,0.003922,0.003922
1,0.000147412,0.000000,0.000000,0.000000
1,0.000148886,0.003922,0.003922,0.003922
1,0.000150375,0.000000,0.000000,0.000000
1,0.000151879,0.000000,0.000000,0.000000
1,0.000153398,0.000000,0.000000,0.000000
1,0.000154932,0.000000,0.000000,0.000000
1,0.000156481,0.000000,0.000000,0.000000
1,0.000158046,0.003922,0.003922,0.003922
1,0.000159626,0.003922,0.003922,0.003922
1,0.000161223,0.003922,0.003922,0.003922
1,0.000162835,0.000000,0.000000,0.000000
1,0.000164463,0.000000,0.000000,0.000000
1,0.000166108,0.003922,0.003922,0.003922
1,0.000167769,0.000000,0.000000,0.000000
1,0.000169446,0.000000,0.000000,0.000000
1,0.000171141,0.003922,0.003922,0.003922
1,0.000172852,0.000000,0.000000,0.000000
1,0.000174581,0.003922,0.003922,0.003922
1,0.000176327,0.000000,0.000000,0.000000
1,0.000178090,0.000000,0.000000,0.000000
1,0.000179871,0.000000,0.000000,0.000000
1,0.000181670,0.000000,0.000000,0.000000
1,0.000183486,0.000000,0.000000,0.000000
1,0.000185321,0.003922,0.003922,0.003922
1,0.000187174,0.003922,0.003922,0.003922
1,0.000189046,0.003922,0.003922,0.003922
1,0.000190937,0.000000,0.000000,0.000000
1,0.000192846,0.000000,0.000000,0.000000
1,0.000194774,0.003922,0.003922,0.003922
1,0.000196722,0.000000,0.000000,0.000000
1,0.000198689,0.000000,0.000000,0.000000
1,0.000200676,0.003922,0.003922,0.003922
1,0.000202683,0.000000,0.000000,0.000000
1,0.000204710,0.003922,0.003922,0.003922
1,0.000206757,0.000000,0.000000,0.000000
1,0.000208824,0.000000,0.000000,0.000000
1,0.000210913,0.000000,0.000000,0.000000
1,0.000213022,0.000000,0.000000,0.000000
1,0.000215152,0.000000,0.000000,0.000000
1,0.000217304,0.003922,0.003922,0.003922
1,0.000219477,0.003922,0.003922,0.003922
1,0.000221671,0.003922,0.003922,0.003922
1,0.000223888,0.000000,0.000000,0.000000
1,0.000226127,0.000000,0.000000,0.000000
1,0.000228388,0.003922,0.003922,0.003922
1,0.000230672,0.000000,0.000000,0.000000
1,0.000232979,0.000000,0.000000,0.000000
1,0.000235309,0.003922,0.003922,0.003922
1,0.000237662,0.000000,0.000000,0.000000
1,0.000240038,0.003922,0.003922,0.003922
1,0.000242439,0.000000,0.000000,0.000000
1,0.000244863,0.000000,0.000000,0.000000
1,0.000247312,0.000000,0.000000,0.000000
1,0.000249785,0.000000,0.000000,0.000000
1,0.000252283,0.000000,0.000000,0.000000
1,0.000254805,0.003922,0.003922,0.003922
1,0.000257353,0.003922,0.003922,0.003922
1,0.000259927,0.003922,0.003922,0.003922
1,0.000262526,0.000000,0.000000,0.000000
1,0.000265152,0.000000,0.000000,0.000000
1,0.000267803,0.003922,0.003922,0.003922
1,0.000270481,0.000000,0.000000,0.000000
1,0.000273186,0.000000,0.000000,0.000000
1,0.000275918,0.003922,0.003922,0.003922
1,0.000278677,0.000000,0.000000,0.000000
1,0.000281464,0.003922,0.003922,0.003922
1,0.000284278,0.000000,0.000000,0.000000
1,0.000287121,0.000000,0.000000,0.000000
1,0.000289992,0.000000,0.000000,0.000000
1,0.000292892,0.000000,0.000000,0.000000
1,0.000295821,0.000000,0.000000,0.000000
1,0.000298779,0.003922,0.003922,0.003922
1,0.000301767,0.003922,0.003922,0.003922
1,0.000304785,0.003922,0.003922,0.003922
1,0.000307833,0.000000,0.000000,0.000000
1,0.000310911,0.000000,0.000000,0.000000
1,0.000314020,0.003922,0.003922,0.003922
1,0.000317160,0.000000,0.000000,0.000000
1,0.000320332,0.000000,0.000000,0.000000
1,0.000323535,0.003922,0.003922,0.003922
1,0.000326770,0.000000,0.000000,0.000000
1,0.000330038,0.003922,0.003922,0.003922
1,0.000333339,0.000000,0.000000,0.000000
1,0.000336672,0.000000,0.000000,0.000000
1,0.000340039,0.000000,0.000000,0.000000
1,0.000343439,0.000000,0.000000,0.000000
1,0.000346873,0.000000,0.000000,0.000000
1,0.000350342,0.003922,0.003922,0.003922
1,0.000353846,0.003922,0.003922,0.003922
1,0.000357384,0.003922,0.003922,0.003922
1,0.000360958,0.000000,0.000000,0.000000
1,0.000364567,0.000000,0.000000,0.000000
1,0.000368213,0.003922,0.003922,0.003922
1,0.000371895,0.000000,0.000000,0.000000
1,0.000375614,0.000000,0.000000,0.000000
1,0.000379370,0.003922,0.003922,0.003922
1,0.000383164,0.000000,0.000000,0.000000
1,0.000386996,0.003922,0.003922,0.003922
1,0.000390866,0.000000,0.000000,0.000000
1,0.000394774,0.000000,0.000000,0.000000
1,0.000398722,0.000000,0.000000,0.000000
1,0.000402709,0.000000,0.000000,0.000000
1,0.000406736,0.000000,0.000000,0.000000
1,0.000410804,0.003922,0.003922,0.003922
1,0.000414912,0.003922,0.003922,0.003922
1,0.000419061,0.003922,0.003922,0.003922
1,0.000423251,0.000000,0.000000,0.000000
1,0.000427484,0.000000,0.000000,0.000000
1,0.000431759,0.003922,0.003922,0.003922
1,0.000436076,0.000000,0.000000,0.000000
1,0.000440437,0.000000,0.000000,0.000000
1,0.000444841,0.003922,0.003922,0.003922
1,0.000449290,0.000000,0.000000,0.000000
1,0.000453783,0.003922,0.003922,0.003922
1,0.000458321,0.000000,0.000000,0.000000
1,0.000462904,0.000000,0.000000,0.000000
1,0.000467533,0.000000,0.000000,0.000000
1,0.000472208,0.000000,0.000000,0.000000
1,0.000476930,0.000000,0.000000,0.000000
1,0.000481699,0.003922,0.003922,0.003922
1,0.000486516,0.003922,0.003922,0.003922
1,0.000491382,0.003922,0.003922,0.003922
1,0.000496295,0.000000,0.000000,0.000000
1,0.000501258,0.000000,0.000000,0.000000
1,0.000506271,0.003922,0.003922,0.003922
1,0.000511334,0.000000,0.000000,0.000000
1,0.000516447,0.000000,0.000000,0.000000
1,0.000521611,0.003922,0.003922,0.003922
1,0.000526828,0.000000,0.000000,0.000000
1,0.000532096,0.003922,0.003922,0.003922
1,0.000537417,0.000000,0.000000,0.000000
1,0.000542791,0.000000,0.000000,0.000000
1,0.000548219,0.000000,0.000000,0.000000
1,0.000553701,0.000000,0.000000,0.000000
1,0.000559238,0.000000,0.000000,0.000000
1,0.000564830,0.003922,0.003922,0.003922
1,0.000570479,0.003922,0.003922,0.003922
1,0.000576183,0.003922,0.003922,0.003922
1,0.000581945,0.000000,0.000000,0.000000
1,0.000587765,0.000000,0.000000,0.000000
1,0.000593642,0.003922,0.003922,0.003922
1,0.000599579,0.000000,0.000000,0.000000
1,0.000605575,0.000000,0.000000,0.000000
1,0.000611630,0.003922,0.003922,0.003922
1,0.000617747,0.000000,0.000000,0.000000
1,0.000623924,0.003922,0.003922,0.003922
1,0.000630163,0.000000,0.000000,0.000000
1,0.000636465,0.000000,0.000000,0.000000
1,0.000642830,0.000000,0.000000,0.000000
1,0.000649258,0.000000,0.000000,0.000000
1,0.000655750,0.000000,0.000000,0.000000
1,0.000662308,0.003922,0.003922,0.003922
1,0.000668931,0.003922,0.003922,0.003922
1,0.000675620,0.003922,0.003922,0.003922
1,0.000682376,0.000000,0.000000,0.000000
1,0.000689200,0.000000,0.000000,0.000000
1,0.000696092,0.003922,0.003922,0.003922
1,0.000703053,0.000000,0.000000,0.000000
1,0.000710084,0.000000,0.000000,0.000000
1,0.000717184,0.003922,0.003922,0.003922
1,0.000724356,0.000000,0.000000,0.000000
1,0.000731600,0.003922,0.003922,0.003922
1,0.000738916,0.000000,0.000000,0.000000
1,0.000746305,0.000000,0.000000,0.000000
1,0.000753768,0.000000,0.000000,0.000000
1,0.000761306,0.000000,0.000000,0.000000
1,0.000768919,0.000000,0.000000,0.000000
1,0.000776608,0.003922,0.003922,0.003922
1,0.000784374,0.003922,0.003922,0.003922
1,0.000792218,0.003922,0.003922,0.003922
1,0.000800140,0.000000,0.000000,0.000000
1,0.000808141,0.000000,0.000000,0.000000
1,0.000816223,0.003922,0.003922,0.003922
1,0.000824385,0.000000,0.000000,0.000000
1,0.000832629,0.000000,0.000000,0.000000
1,0.000840955,0.003922,0.003922,0.003922
1,0.000849365,0.000000,0.000000,0.000000
1,0.000857858,0.003922,0.003922,0.003922
1,0.000866437,0.000000,0.000000,0.000000
1,0.000875101,0.000000,0.000000,0.000000
1,0.000883852,0.000000,0.000000,0.000000
1,0.000892691,0.000000,0.000000,0.000000
1,0.000901618,0.000000,0.000000,0.000000
1,0.000910634,0.003922,0.003922,0.003922
1,0.000919740,0.003922,0.003922,0.003922
1,0.000928938,0.003922,0.003922,0.003922
1,0.000938227,0.000000,0.000000,0.000000
1,0.000947609,0.000000,0.000000,0.000000
1,0.000957085,0.003922,0.003922,0.003922
1,0.000966656,0.000000,0.000000,0.000000
1,0.000976323,0.000000,0.000000,0.000000
1,0.000986086,0.003922,0.003922,0.003922
1,0.000995947,0.000000,0.000000,0.000000
1,0.001005906,0.003922,0.003922,0.003922
1,0.001015965,0.000000,0.000000,0.000000
1,0.001026125,0.000000,0.000000,0.000000
1,0.001036386,0.000000,0.000000,0.000000
1,0.001046750,0.000000,0.000000,0.000000
1,0.001057217,0.000000,0.000000,0.000000
1,0.001067790,0.003922,0.003922,0.003922
1,0.001078467,0.003922,0.003922,0.003922
1,0.001089252,0.003922,0.003922,0.003922
1,0.001100145,0.000000,0.000000,0.000000
1,0.001111146,0.000000,0.000000,0.000000
1,0.001122258,0.003922,0.003922,0.003922
1,0.001133480,0.000000,0.000000,0.000000
1,0.001144815,0.000000,0.000000,0.000000
1,0.001156263,0.003922,0.003922,0.003922
1,0.001167826,0.000000,0.000000,0.000000
1,0.001179504,0.003922,0.003922,0.003922
