sampleNumber,e,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
1,0.000000,0.409915,0.941368,0.734010,0.096627,0.332992,-0.937966,0.414872,0.628610,-0.657822,4.881434,0.892963,0.477228,0.692831,0.476043,0.698844,0.527543,0.251308,0.407843,0.937255,0.729412
2,0.000000,0.381365,0.190222,0.750040,0.760356,0.141432,-0.633921,-0.682010,0.391590,-0.617673,5.390929,0.971386,0.406077,0.425221,1.719378,0.526631,0.077317,0.749226,0.384314,0.192157,0.749020
3,0.000000,0.092182,0.978260,0.716566,-0.111257,0.791103,-0.601480,0.684786,-0.506018,-0.524418,0.483825,0.307921,0.661207,0.674411,0.705540,0.320371,0.020914,0.237863,0.098039,0.980392,0.713726
4,0.000000,0.996622,0.067231,0.116562,0.403281,-0.553254,-0.728886,0.490225,0.197237,-0.848986,4.576517,0.082772,0.295459,0.923286,0.575518,0.802232,0.119046,0.436331,0.996079,0.070588,0.117647
5,0.000000,0.106162,0.200511,0.344907,-0.365077,0.039712,-0.930130,-0.282671,-0.285280,-0.915813,5.992600,0.013412,0.552242,0.944634,1.228757,0.328042,0.490936,0.168640,0.109804,0.200000,0.345098
6,0.000000,0.336275,0.779972,0.279788,-0.662988,0.047147,-0.747144,0.228111,0.793523,-0.564169,0.765889,0.337181,0.374134,0.989808,1.658696,0.540111,0.451104,0.080438,0.329412,0.772549,0.274510
7,0.000000,0.952759,0.486238,0.252978,-0.283614,-0.548737,-0.786416,-0.585561,0.289273,-0.757258,3.335804,0.589784,0.980662,0.226782,0.590253,0.874664,0.299484,0.864346,0.949020,0.482353,0.247059
8,0.000000,0.327233,0.626131,0.862318,-0.435106,0.241936,-0.867266,0.085652,0.772085,-0.629721,5.941894,0.475716,0.228462,0.455807,0.548848,0.363516,0.678547,0.312459,0.329412,0.627451,0.858824
9,0.000000,0.679223,0.823840,0.485741,-0.369362,-0.189341,-0.909792,0.241681,-0.748769,-0.617199,3.375994,0.978326,0.611771,0.414933,0.882251,0.242333,0.633749,0.330655,0.678431,0.819608,0.482353
10,0.000000,0.422421,0.034878,0.986528,-0.035740,-0.356351,-0.933668,0.617214,0.265082,-0.740796,3.205406,0.580222,0.411344,0.688732,1.132096,0.306195,0.464123,0.394172,0.419608,0.035294,0.984314
11,0.000000,0.886142,0.924438,0.408322,-0.294326,-0.656718,-0.694330,0.465488,-0.006078,-0.885033,1.485132,0.082896,0.947727,0.398902,1.035821,0.630871,0.596578,0.737434,0.882353,0.917647,0.403922
12,0.000000,0.675013,0.431502,0.133548,-0.214501,-0.821761,-0.527919,0.527247,0.124499,-0.840542,4.266331,0.520440,0.544880,0.328950,0.290104,0.935982,0.510771,0.457546,0.670588,0.427451,0.129412
13,0.000000,0.787989,0.026995,0.935560,0.026454,-0.820626,-0.570853,-0.728553,0.250464,-0.637556,1.718416,0.266724,0.910855,0.507466,0.620665,0.868858,0.606540,0.048576,0.784314,0.027451,0.929412
14,0.000000,0.997804,0.873396,0.887608,-0.262609,-0.745473,-0.612623,0.629710,-0.402141,-0.664641,2.049495,0.954142,0.114409,0.954738,1.025757,0.791836,0.781636,0.836702,1.000000,0.874510,0.878431
15,0.000000,0.603479,0.006600,0.146366,-0.568323,-0.156958,-0.807696,0.362320,0.157913,-0.918579,5.757169,0.481071,0.355706,0.941771,1.525368,0.699449,0.897345,0.213683,0.603922,0.007843,0.145098
16,0.000000,0.667357,0.931916,0.038330,0.296613,0.219489,-0.929433,0.101160,0.583738,-0.805616,6.038432,0.741690,0.436169,0.136092,1.916391,0.619035,0.278787,0.787247,0.666667,0.929412,0.039216
17,0.000000,0.593247,0.092824,0.292943,0.642358,0.007116,-0.766372,0.580913,0.079770,-0.810048,2.880477,0.387189,0.722981,0.806823,1.419521,0.198228,0.718611,0.782081,0.592157,0.094118,0.290196
