sampleNumber,e,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
1,0.000000,0.404821,0.034705,0.597269,-0.091068,-0.465751,-0.880217,-0.335180,0.715387,-0.613087,1.972329,0.421408,0.630842,0.758811,0.869777,0.328578,0.585223,0.561494,0.403922,0.039216,0.596079
2,0.000000,0.952963,0.267467,0.064955,-0.056494,0.830726,-0.553807,0.608259,-0.406507,-0.681743,2.052676,0.930406,0.193082,0.574824,0.567720,0.111544,0.504968,0.007340,0.952941,0.266667,0.070588
3,0.000000,0.306987,0.464327,0.950321,-0.641861,-0.188138,-0.743383,0.726161,0.430265,-0.536248,2.488713,0.019653,0.359865,0.485255,1.391296,0.315719,0.269667,0.075341,0.305882,0.462745,0.941177
4,0.000000,0.665709,0.277749,0.049710,-0.297024,-0.367903,-0.881150,-0.133848,0.411871,-0.901358,6.270546,0.102194,0.183800,0.071138,0.911269,0.002657,0.245440,0.869176,0.666667,0.278431,0.050980
5,0.000000,0.468720,0.914952,0.691780,0.832569,0.151344,-0.532846,0.278101,0.177306,-0.944046,2.783208,0.030113,0.224318,0.741433,0.843697,0.374009,0.688000,0.898129,0.466667,0.913726,0.686275
6,0.000000,0.230667,0.539130,0.763034,0.367444,0.474840,-0.799695,-0.792504,-0.079870,-0.604615,1.061438,0.324531,0.877021,0.123065,1.395184,0.916808,0.420713,0.592663,0.227451,0.533333,0.752941
7,0.000000,0.207551,0.192006,0.344967,0.247463,-0.318005,-0.915224,0.589620,-0.328131,-0.738024,0.110911,0.508549,0.955411,0.472172,0.147972,0.341023,0.096277,0.650090,0.203922,0.188235,0.341177
8,0.000000,0.275642,0.220292,0.609769,0.187593,0.109452,-0.976130,0.713694,0.015301,-0.700291,5.168974,0.551260,0.920723,0.749334,1.024185,0.221218,0.061477,0.340793,0.274510,0.219608,0.607843
9,0.000000,0.624591,0.678875,0.576740,0.631512,0.111561,-0.767299,0.681322,0.397027,-0.614955,5.134751,0.304538,0.974141,0.499731,0.747501,0.694368,0.444417,0.249884,0.623529,0.678431,0.576471
10,0.000000,0.900842,0.159798,0.100349,0.162729,0.241128,-0.956753,0.685442,-0.116177,-0.718799,3.875622,0.007504,0.126789,0.131128,1.972958,0.601907,0.995995,0.630685,0.894118,0.160784,0.098039
11,0.000000,0.433626,0.839470,0.177257,0.819853,-0.054359,-0.569988,-0.329037,-0.788651,-0.519389,3.180419,0.101684,0.892981,0.273657,0.559116,0.618971,0.830808,0.006611,0.435294,0.839216,0.180392
12,0.000000,0.226611,0.622875,0.453352,-0.130346,-0.719179,-0.682489,0.746757,-0.184769,-0.638917,2.142496,0.641977,0.048658,0.965692,1.936323,0.843472,0.310385,0.715148,0.227451,0.623529,0.454902
13,0.000000,0.118634,0.031046,0.612667,0.097829,0.167337,-0.981034,0.423735,0.464140,-0.777832,5.528720,0.675507,0.968107,0.087950,1.145909,0.030603,0.434617,0.843185,0.113726,0.031373,0.603922
14,0.000000,0.100638,0.420595,0.121114,0.314350,0.373329,-0.872817,-0.355747,0.063427,-0.932427,1.869386,0.791870,0.481146,0.228939,1.936612,0.237256,0.313243,0.243343,0.098039,0.415686,0.121569
15,0.000000,0.672932,0.347390,0.831216,0.670183,0.487148,-0.559948,-0.399656,0.750281,-0.526644,5.720146,0.503994,0.742417,0.507170,0.360695,0.487356,0.113057,0.349031,0.670588,0.349020,0.827451
16,0.000000,0.340479,0.509078,0.326626,0.310674,-0.007316,-0.950488,0.173963,-0.669700,-0.721969,4.066869,0.029315,0.487792,0.660642,1.503852,0.356701,0.548648,0.740698,0.337255,0.505882,0.321569
17,0.000000,0.423603,0.001071,0.590162,-0.641702,-0.354281,-0.680223,-0.068511,0.756560,-0.650326,5.823098,0.009596,0.739881,0.893617,1.300144,0.418789,0.880608,0.446488,0.423529,0.007843,0.588235
18,0.000000,0.670673,0.029493,0.761541,0.167286,-0.811628,-0.559710,-0.232921,-0.479210,-0.846231,0.850298,0.361203,0.914305,0.085329,1.010302,0.745591,0.527126,0.720382,0.670588,0.031373,0.756863
19,0.000000,0.263358,0.544053,0.487239,-0.747283,0.122290,-0.653157,0.074929,0.697940,-0.712226,3.938510,0.703517,0.934781,0.416764,1.900340,0.889929,0.014256,0.863444,0.262745,0.541177,0.482353
20,0.000000,0.882457,0.493637,0.708033,-0.426080,-0.598724,-0.678223,-0.108883,-0.737090,-0.666965,6.247457,0.434531,0.406875,0.598860,0.792238,0.591228,0.815035,0.426041,0.882353,0.494118,0.701961
21,0.000000,0.793945,0.725868,0.200538,0.003468,0.338400,-0.940996,0.683395,-0.249582,-0.686061,3.686514,0.130691,0.805326,0.473329,0.100539,0.885167,0.629031,0.664109,0.788235,0.729412,0.200000
22,0.000000,0.004704,0.131026,0.130363,-0.449214,-0.739625,-0.501161,-0.595514,0.591529,-0.543560,5.232251,0.921738,0.373572,0.734433,1.065707,0.700231,0.280259,0.584993,0.003922,0.129412,0.129412
23,0.000000,0.231490,0.541494,0.140544,0.564835,-0.061833,-0.822884,-0.014819,-0.865111,-0.501362,0.446785,0.112529,0.596123,0.742620,0.321756,0.771357,0.491855,0.417040,0.227451,0.537255,0.137255
24,0.000000,0.399505,0.046943,0.545669,-0.663753,0.155888,-0.731526,-0.591806,0.235753,-0.770835,2.172838,0.354867,0.635708,0.660803,1.798593,0.591469,0.180725,0.272237,0.396079,0.050980,0.545098
25,0.000000,0.131645,0.197183,0.639487,0.842465,-0.108252,-0.527764,-0.570932,-0.523021,-0.632840,1.687835,0.885498,0.395382,0.992591,0.887619,0.413783,0.686361,0.712241,0.133333,0.196078,0.635294
26,0.000000,0.611991,0.607067,0.866556,0.019932,-0.003401,-0.999796,-0.180891,-0.118149,-0.976381,4.165627,0.766116,0.653815,0.145304,0.316749,0.900283,0.594387,0.650639,0.611765,0.603922,0.862745
27,0.000000,0.388110,0.074954,0.880107,-0.406002,-0.735008,-0.543070,-0.125477,0.227773,-0.965596,0.211104,0.343454,0.936279,0.511615,0.721396,0.093955,0.902646,0.001242,0.388235,0.078431,0.874510
28,0.000000,0.311181,0.220635,0.715367,-0.625985,-0.396698,-0.671397,0.141948,-0.685108,-0.714477,5.548563,0.199979,0.854147,0.829465,1.055651,0.897145,0.604865,0.443510,0.313726,0.223529,0.717647
29,0.000000,0.917967,0.061256,0.652547,0.593068,-0.375717,-0.712114,-0.404086,-0.747568,-0.527122,4.360233,0.442998,0.628486,0.941180,0.548227,0.542458,0.868132,0.117390,0.913726,0.058824,0.650980
30,0.000000,0.453786,0.064607,0.298621,-0.803110,-0.123610,-0.582869,-0.393004,-0.166059,-0.904418,0.344922,0.870249,0.468210,0.987094,0.776782,0.650200,0.367924,0.345836,0.450980,0.062745,0.294118
31,0.000000,0.739769,0.302612,0.563836,0.625292,0.527429,-0.575177,-0.118086,-0.676939,-0.726505,0.235615,0.206306,0.315909,0.522555,1.713667,0.802327,0.590034,0.417008,0.733333,0.301961,0.556863
32,0.000000,0.149503,0.327197,0.308237,0.472458,0.605065,-0.640844,-0.520737,-0.665791,-0.534374,2.648698,0.860754,0.776335,0.187918,1.168216,0.273388,0.638467,0.195493,0.149020,0.325490,0.301961
33,0.000000,0.774829,0.838971,0.852629,-0.771673,-0.333201,-0.541755,-0.028829,0.779751,-0.625425,3.895856,0.593101,0.666193,0.900299,1.451594,0.662540,0.100648,0.369568,0.772549,0.835294,0.847059
34,0.000000,0.916502,0.216667,0.076676,0.332132,-0.127018,-0.934641,0.285893,0.346607,-0.893380,0.534471,0.852646,0.939595,0.876556,1.356611,0.076198,0.830276,0.519747,0.913726,0.219608,0.078431
35,0.000000,0.531776,0.147005,0.791347,0.504393,-0.357639,-0.785928,-0.367254,0.234191,-0.900155,6.210273,0.485165,0.532628,0.760946,0.773791,0.875884,0.810953,0.597469,0.533333,0.149020,0.784314
36,0.000000,0.198114,0.006414,0.498390,-0.033420,-0.193371,-0.980556,0.158286,0.535104,-0.829825,6.048573,0.728756,0.680353,0.203716,1.752330,0.493633,0.377503,0.644896,0.196078,0.007843,0.498039
37,0.000000,0.834518,0.152037,0.163878,0.751400,-0.116528,-0.649476,-0.597534,-0.121438,-0.792594,4.190811,0.190316,0.480466,0.464007,0.372353,0.342993,0.614427,0.745839,0.831373,0.152941,0.160784
38,0.000000,0.917699,0.758987,0.177248,-0.849488,0.132691,-0.510650,0.223083,0.418651,-0.880321,4.446664,0.924855,0.701648,0.315088,1.184851,0.101345,0.588066,0.257268,0.913726,0.752941,0.176471
39,0.000000,0.020649,0.826836,0.165081,-0.622042,0.115628,-0.774399,0.032771,0.369851,-0.928513,4.269419,0.478906,0.133483,0.245051,1.333661,0.329260,0.135600,0.797301,0.023529,0.823530,0.160784
40,0.000000,0.120848,0.721326,0.720500,-0.166615,-0.539075,-0.825614,-0.168542,-0.048127,-0.984519,0.451423,0.665040,0.736358,0.161260,1.336833,0.118302,0.111471,0.956307,0.121569,0.721569,0.717647
41,0.000000,0.428843,0.020043,0.587544,-0.299531,0.478333,-0.825518,0.527672,0.264309,-0.807282,2.152962,0.161240,0.702013,0.489930,1.596413,0.600792,0.753551,0.158546,0.427451,0.023529,0.580392
42,0.000000,0.674188,0.213809,0.113578,-0.515671,0.490518,-0.702478,-0.744514,0.289734,-0.601459,2.612438,0.444173,0.158904,0.350275,1.068871,0.978414,0.198826,0.856540,0.670588,0.211765,0.113726
43,0.000000,0.821131,0.747584,0.310405,-0.614262,-0.444273,-0.652154,-0.133188,-0.090627,-0.986939,0.671025,0.721941,0.390635,0.677653,0.500027,0.038870,0.111834,0.747261,0.819608,0.749020,0.309804
44,0.000000,0.354666,0.073324,0.849081,0.392766,-0.320601,-0.861946,0.132005,-0.572514,-0.809199,1.091077,0.034549,0.475157,0.570746,0.934300,0.680965,0.974089,0.463199,0.356863,0.078431,0.850981
45,0.000000,0.592083,0.322782,0.654690,-0.432804,-0.579598,-0.690469,-0.466145,-0.462013,-0.754489,0.616770,0.762270,0.476882,0.240884,1.385241,0.733879,0.974530,0.222834,0.588235,0.317647,0.650980
