sampleNumber,e,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
1,0.000000,0.035699,0.882368,0.826044,-0.344380,-0.646889,-0.680395,0.414133,-0.455918,-0.787803,133.968300,0.352077,0.156235,0.256071,14.146120,0.670430,0.930261,0.855496,0.007843,0.415686,0.384314
2,0.000000,0.482298,0.072215,0.977871,-0.467943,-0.366592,-0.804139,-0.134220,0.486632,-0.863235,157.019400,0.373001,0.817943,0.746167,115.607300,0.633215,0.214507,0.787414,0.501961,0.050980,0.996079
3,0.000000,0.797769,0.154269,0.443854,-0.310774,-0.456069,-0.833919,0.201784,-0.360679,-0.910601,295.075700,0.561374,0.085010,0.856309,99.778670,0.862912,0.335470,0.294005,0.960784,0.098039,0.482353
4,0.000000,0.818792,0.658721,0.664747,0.813438,0.189388,-0.549955,-0.187041,-0.813104,-0.551251,180.959300,0.471738,0.069542,0.795417,111.409800,0.251385,0.872584,0.378577,0.537255,0.756863,0.521569
5,0.000000,0.582798,0.674848,0.227266,-0.608070,0.318212,-0.727319,0.452273,-0.725817,-0.518304,339.323800,0.086564,0.815498,0.059345,42.415230,0.755060,0.079723,0.296493,0.403922,0.149020,0.086275
6,0.000000,0.848246,0.648719,0.861330,-0.447212,-0.219912,-0.866972,-0.261167,0.792878,-0.550579,64.686700,0.689032,0.009996,0.701648,21.227220,0.359432,0.540571,0.297492,0.364706,0.274510,0.349020
7,0.000000,0.871176,0.702108,0.134100,-0.381766,-0.731003,-0.565588,-0.758887,-0.314621,-0.570180,109.971000,0.024046,0.699883,0.125576,61.497120,0.855099,0.523241,0.910636,0.760784,0.576471,0.125490
8,0.000000,0.120050,0.038642,0.580805,0.366890,0.028517,-0.929827,0.033136,0.674858,-0.737204,127.411700,0.333771,0.874741,0.891284,62.046960,0.421147,0.200118,0.683942,0.062745,0.015686,0.549020
9,0.000000,0.465829,0.210645,0.616364,0.539837,0.656925,-0.526332,0.201869,-0.530976,-0.822991,149.217700,0.304216,0.853536,0.872785,23.726950,0.730503,0.882822,0.991990,0.239216,0.129412,0.411765
10,0.000000,0.122589,0.948574,0.877196,0.210351,-0.738362,-0.640760,0.470018,-0.004840,-0.882644,173.386100,0.383960,0.058937,0.900492,13.625720,0.876736,0.289881,0.488837,0.039216,0.250980,0.643137
11,0.000000,0.846237,0.448464,0.206168,0.304512,-0.544090,-0.781818,0.773772,-0.221658,-0.593418,9.066168,0.704549,0.051001,0.306661,81.829880,0.657184,0.184787,0.745524,0.749020,0.207843,0.188235
12,0.000000,0.882028,0.403190,0.558277,0.732465,-0.107191,-0.672314,0.544763,0.094373,-0.833263,220.009200,0.471394,0.986609,0.165103,46.366210,0.046497,0.034578,0.201842,0.431373,0.388235,0.223529
13,0.000000,0.385749,0.864709,0.734675,0.805073,-0.139849,-0.576455,0.708095,0.472235,-0.524973,111.787900,0.528249,0.315799,0.192876,90.014160,0.573707,0.207309,0.111462,0.352941,0.494118,0.305882
14,0.000000,0.132137,0.999904,0.540789,0.354805,-0.694652,-0.625757,0.283482,-0.056498,-0.957312,36.408860,0.167530,0.140167,0.447106,29.462300,0.667416,0.011948,0.575036,0.058824,0.082353,0.282353
15,0.000000,0.185013,0.011860,0.524962,0.529646,0.082840,-0.844164,0.471591,-0.397638,-0.787074,155.048900,0.971584,0.708449,0.116204,113.976500,0.247804,0.641180,0.617635,0.180392,0.015686,0.521569
16,0.000000,0.953897,0.668513,0.598900,-0.282016,-0.700804,-0.655241,-0.712273,-0.142264,-0.687335,291.943300,0.703900,0.528862,0.528813,110.139600,0.539891,0.264065,0.127126,0.992157,0.545098,0.403922
17,0.000000,0.472896,0.712477,0.913741,-0.521561,0.581363,-0.624493,-0.785557,-0.193671,-0.587700,275.319900,0.027204,0.171769,0.824923,43.738610,0.126106,0.662294,0.615846,0.129412,0.486275,0.862745
18,0.000000,0.060325,0.630890,0.509094,0.095986,-0.675410,-0.731169,0.142938,0.157642,-0.977097,243.870700,0.959220,0.903815,0.011577,80.835570,0.825388,0.337572,0.229879,0.094118,0.607843,0.270588
19,0.000000,0.031660,0.546124,0.037915,-0.247243,0.298455,-0.921844,0.553539,-0.469420,-0.687924,250.852300,0.071008,0.763258,0.998862,108.320100,0.553554,0.836034,0.465322,0.023529,0.650980,0.039216
20,0.000000,0.650380,0.446664,0.028064,-0.461772,0.032423,-0.886406,0.341662,0.514435,-0.786526,293.719600,0.431317,0.140304,0.403845,70.159860,0.232401,0.337168,0.782569,0.396079,0.266667,0.023529
21,0.000000,0.632886,0.610449,0.532195,0.281950,-0.001161,-0.959429,-0.408710,0.591911,-0.694692,272.321300,0.387231,0.011194,0.683985,43.080270,0.815062,0.518513,0.388499,0.490196,0.356863,0.388235
22,0.000000,0.663922,0.555431,0.619853,-0.550693,-0.237323,-0.800259,0.278573,-0.240992,-0.929688,301.709300,0.354907,0.785587,0.212954,51.516830,0.681234,0.186711,0.876937,0.517647,0.450980,0.505882
23,0.000000,0.504962,0.948219,0.733857,-0.574887,0.564907,-0.591933,-0.001257,0.137182,-0.990545,326.755300,0.201817,0.775514,0.237690,79.446150,0.687971,0.902602,0.764265,0.458824,0.992157,0.694118
24,0.000000,0.853519,0.528645,0.185655,-0.485674,0.092108,-0.869274,-0.347489,-0.691561,-0.633242,336.541400,0.788120,0.249790,0.671686,110.943400,0.540414,0.530232,0.172300,0.988235,0.494118,0.145098
