sampleNumber,e,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
1,0.000000,0.916184,0.349488,0.512159,0.755492,-0.077747,-0.650528,0.102907,0.792911,-0.600585,311.661700,0.340421,0.241856,0.227661,58.693120,0.453936,0.959185,0.494112,0.388235,0.078431,0.098039
2,0.000000,0.101878,0.434204,0.312785,-0.750249,0.357122,-0.556409,0.597617,0.243910,-0.763781,31.706670,0.680615,0.017624,0.171597,65.332820,0.432054,0.150040,0.494790,0.000000,0.007843,0.019608
3,0.000000,0.533552,0.121663,0.310976,-0.499548,0.447285,-0.741882,-0.445610,0.717342,-0.535586,347.470000,0.412784,0.876473,0.582027,49.913900,0.820608,0.168436,0.841467,0.215686,0.003922,0.078431
4,0.000000,0.142673,0.342147,0.884409,-0.680198,0.288315,-0.673947,0.008107,0.833737,-0.552103,268.244000,0.957587,0.692122,0.230978,15.136300,0.923851,0.955608,0.200263,0.003922,0.035294,0.039216
5,0.000000,0.373949,0.764135,0.118483,0.672670,-0.120444,-0.730074,0.485419,0.181615,-0.855210,352.029800,0.136879,0.740755,0.989559,54.303330,0.006914,0.027609,0.652835,0.000000,0.458824,0.007843
6,0.000000,0.106607,0.272207,0.479580,0.188319,0.302646,-0.934313,-0.433851,-0.193977,-0.879856,222.004600,0.343501,0.029939,0.750558,36.793960,0.409816,0.806870,0.883218,0.000000,0.007843,0.168628
7,0.000000,0.479327,0.077219,0.129582,0.578445,0.139966,-0.803623,-0.310319,-0.571389,-0.759748,82.377910,0.971659,0.171431,0.015253,9.479785,0.566616,0.472385,0.019222,0.015686,0.000000,0.000000
8,0.000000,0.348370,0.654116,0.439387,0.727796,0.188196,-0.659466,-0.751220,0.004346,-0.660038,16.982970,0.465054,0.847490,0.865063,91.344650,0.406875,0.999026,0.719855,0.035294,0.533333,0.160784
9,0.000000,0.542938,0.872643,0.777992,0.578907,0.145971,-0.802221,0.739044,0.336457,-0.583619,248.760700,0.594607,0.586631,0.063435,5.272851,0.368810,0.929549,0.506550,0.090196,0.317647,0.007843
10,0.000000,0.170212,0.898349,0.761813,-0.722310,0.464302,-0.512535,-0.307714,-0.788484,-0.532546,271.167800,0.721980,0.896738,0.920814,65.451010,0.687988,0.407507,0.374243,0.003922,0.423529,0.290196
11,0.000000,0.179767,0.869397,0.127843,0.686827,0.442447,-0.576637,0.257026,0.797236,-0.546216,311.592200,0.063762,0.851335,0.475882,97.518520,0.567500,0.391158,0.774729,0.007843,0.984314,0.007843
12,0.000000,0.688122,0.103245,0.348060,-0.039262,0.474205,-0.879539,-0.474659,0.305702,-0.825375,285.306900,0.279607,0.926899,0.165564,109.174400,0.361973,0.589493,0.448603,0.305882,0.007843,0.062745
13,0.000000,0.697904,0.169819,0.386652,-0.008627,-0.338144,-0.941055,-0.244430,0.776202,-0.581174,130.112700,0.228570,0.409347,0.498763,97.358600,0.164699,0.363455,0.859903,0.101961,0.000000,0.160784
14,0.000000,0.998657,0.710256,0.284342,0.244244,0.551177,-0.797840,-0.177086,0.576566,-0.797629,85.681430,0.068787,0.798609,0.167284,74.835870,0.923526,0.377997,0.031547,0.960784,0.309804,0.000000
15,0.000000,0.680137,0.051261,0.367096,0.441580,-0.276456,-0.853569,-0.360977,-0.097118,-0.927504,120.605400,0.446666,0.709993,0.108283,10.267050,0.943585,0.751823,0.576267,0.078431,0.000000,0.000000
16,0.000000,0.793883,0.131035,0.050800,-0.559008,-0.227447,-0.797357,-0.725764,-0.396767,-0.561998,215.543100,0.987542,0.188604,0.220796,2.302408,0.795304,0.680890,0.933564,0.576471,0.000000,0.000000
17,0.000000,0.043750,0.002288,0.120877,0.549300,0.263910,-0.792856,0.402424,0.341818,-0.849244,107.967600,0.399800,0.768327,0.236572,14.011620,0.846549,0.584070,0.223710,0.000000,0.000000,0.000000
18,0.000000,0.958002,0.875595,0.905442,-0.731404,-0.296933,-0.613905,0.260367,-0.737060,-0.623660,13.316780,0.986704,0.335304,0.413647,79.689060,0.309138,0.534082,0.314206,0.376471,0.490196,0.313726
19,0.000000,0.664442,0.735174,0.959140,-0.350004,-0.521947,-0.777861,0.508970,-0.669190,-0.541419,173.050300,0.364846,0.569562,0.278216,18.657360,0.349658,0.192137,0.105182,0.043137,0.090196,0.035294
20,0.000000,0.845515,0.269858,0.433606,0.356836,-0.191561,-0.914315,-0.674114,0.301393,-0.674339,317.199800,0.266360,0.707707,0.254718,119.909900,0.432166,0.299985,0.563038,0.556863,0.023529,0.168628
21,0.000000,0.376856,0.780996,0.130262,-0.374042,-0.513168,-0.772496,-0.242186,0.548190,-0.800521,51.720040,0.652325,0.021905,0.390535,18.168070,0.530323,0.298809,0.971652,0.007843,0.023529,0.000000
22,0.000000,0.132444,0.298178,0.548688,0.291435,0.218600,-0.931279,-0.856467,-0.047500,-0.514012,188.482200,0.919056,0.919030,0.115393,89.676700,0.680178,0.933458,0.332667,0.000000,0.094118,0.109804
23,0.000000,0.556125,0.094779,0.107198,0.332774,0.417510,-0.845546,-0.352795,0.050591,-0.934332,108.006800,0.401717,0.331078,0.496032,4.881577,0.755336,0.181083,0.256915,0.007843,0.000000,0.000000
24,0.000000,0.654388,0.423602,0.672552,-0.298926,-0.468461,-0.831377,-0.049122,0.439651,-0.896825,205.244200,0.226512,0.284705,0.899991,71.514970,0.960024,0.043776,0.441522,0.415686,0.000000,0.388235
25,0.000000,0.196026,0.827920,0.556539,0.495689,-0.463132,-0.734711,-0.030165,-0.806599,-0.590329,313.904800,0.265057,0.257990,0.987008,102.951900,0.488479,0.922961,0.776078,0.007843,0.929412,0.635294
26,0.000000,0.594721,0.699498,0.961307,-0.579703,-0.543171,-0.607380,-0.078822,-0.565430,-0.821021,134.189500,0.028364,0.184155,0.208896,5.407119,0.995788,0.528153,0.431353,0.007843,0.007843,0.027451
27,0.000000,0.526641,0.877156,0.990364,-0.645354,0.136650,-0.751562,0.172187,0.520128,-0.836552,194.580000,0.649182,0.124158,0.052770,50.695130,0.510505,0.123577,0.267045,0.149020,0.062745,0.211765
28,0.000000,0.896074,0.715073,0.168748,0.124500,-0.611875,-0.781095,0.031856,0.255142,-0.966379,196.170500,0.651299,0.974726,0.080791,55.157080,0.564843,0.581835,0.780813,0.541177,0.494118,0.007843
29,0.000000,0.572660,0.841663,0.534515,0.325446,-0.233019,-0.916399,0.162409,-0.392646,-0.905236,207.060000,0.388439,0.916720,0.973720,94.440150,0.300204,0.381055,0.275255,0.156863,0.866667,0.325490
30,0.000000,0.518500,0.194142,0.647011,-0.639044,-0.543161,-0.544609,-0.770955,-0.280651,-0.571720,82.331630,0.699264,0.571971,0.999084,93.190890,0.279951,0.805463,0.741344,0.125490,0.019608,0.541177
31,0.000000,0.351886,0.810004,0.924866,-0.565364,0.404664,-0.718757,0.595205,-0.605439,-0.528369,13.957280,0.494470,0.115056,0.007852,85.969420,0.237861,0.344856,0.541718,0.007843,0.294118,0.572549
32,0.000000,0.364040,0.947151,0.864722,0.393569,-0.061435,-0.917240,-0.043693,-0.016778,-0.998904,364.806700,0.206969,0.725396,0.900174,104.540000,0.533122,0.573324,0.083534,0.086275,0.988235,0.925490
33,0.000000,0.709187,0.832139,0.013518,0.440491,0.585387,-0.680654,0.440670,-0.314235,-0.840873,26.903300,0.453923,0.744228,0.662589,20.547810,0.566321,0.650032,0.682522,0.078431,0.160784,0.000000
34,0.000000,0.393066,0.077021,0.942016,0.414904,0.244260,-0.876465,0.055416,-0.687638,-0.723936,281.297700,0.550876,0.614445,0.491251,112.538000,0.871377,0.530144,0.781454,0.219608,0.000000,0.992157
35,0.000000,0.239363,0.663327,0.520028,0.379886,0.304429,-0.873504,0.568311,0.043558,-0.821660,28.588090,0.335327,0.778899,0.768842,56.785120,0.975650,0.816088,0.874936,0.019608,0.317647,0.192157
36,0.000000,0.441925,0.416946,0.650145,-0.458218,-0.161050,-0.874128,-0.223984,0.791264,-0.568976,119.757900,0.721154,0.878329,0.910036,112.802700,0.427117,0.165845,0.542573,0.141177,0.054902,0.431373
37,0.000000,0.351851,0.762298,0.530709,-0.557687,-0.616756,-0.555515,0.594867,-0.123510,-0.794279,100.367000,0.409352,0.789445,0.101370,104.170200,0.069568,0.404066,0.760916,0.003922,0.392157,0.305882
38,0.000000,0.552955,0.613759,0.083279,0.255908,-0.759391,-0.598195,-0.042027,0.737657,-0.673866,365.762000,0.345360,0.507402,0.937172,54.286430,0.461576,0.583388,0.770213,0.090196,0.160784,0.000000
39,0.000000,0.815219,0.610955,0.817562,-0.634619,0.066975,-0.769917,-0.578603,-0.390658,-0.715964,223.010400,0.069258,0.482510,0.686646,43.488000,0.747868,0.882419,0.697543,0.317647,0.266667,0.541177
40,0.000000,0.385110,0.422314,0.640956,-0.085402,-0.082998,-0.992884,-0.104256,0.226622,-0.968387,162.225900,0.605777,0.122262,0.847748,25.708470,0.744751,0.685813,0.482950,0.047059,0.019608,0.266667
41,0.000000,0.644798,0.820661,0.228067,0.596542,0.524110,-0.607821,0.415153,0.512511,-0.751652,129.935600,0.965029,0.050030,0.845448,99.402400,0.761546,0.236182,0.849148,0.631373,0.235294,0.058824
42,0.000000,0.101264,0.439349,0.501484,0.431039,-0.466250,-0.772539,0.709460,0.015397,-0.704577,23.590980,0.933026,0.688153,0.502516,51.723040,0.987691,0.542965,0.072755,0.000000,0.058824,0.003922
43,0.000000,0.202762,0.256286,0.585377,0.774666,0.346209,-0.529181,-0.650890,-0.488768,-0.580903,67.521280,0.056675,0.424832,0.870422,104.946300,0.844873,0.227537,0.096129,0.027451,0.007843,0.023529
44,0.000000,0.800824,0.504130,0.242748,-0.423888,0.457180,-0.781860,-0.002825,0.823359,-0.567514,14.201400,0.604870,0.142166,0.774838,118.940800,0.262290,0.828463,0.371992,0.309804,0.333333,0.015686
45,0.000000,0.198137,0.616102,0.863859,-0.608694,-0.569196,-0.552727,0.371389,0.203504,-0.905901,301.321100,0.375527,0.151602,0.316863,18.414470,0.748816,0.586777,0.982802,0.000000,0.035294,0.215686
46,0.000000,0.107863,0.302373,0.838269,-0.650882,-0.383025,-0.655473,-0.586176,0.376634,-0.717318,127.937300,0.728383,0.795565,0.354525,106.121500,0.111874,0.567629,0.843878,0.000000,0.074510,0.886275
47,0.000000,0.926383,0.853355,0.575237,-0.498156,0.660858,-0.561344,-0.355914,0.092908,-0.929889,287.381100,0.918596,0.270886,0.991107,110.600400,0.060167,0.227883,0.094030,0.780392,0.317647,0.349020
48,0.000000,0.822714,0.432931,0.651976,-0.101564,-0.712000,-0.694796,-0.333634,0.109139,-0.936364,184.554700,0.616243,0.706945,0.915690,116.392700,0.378767,0.222803,0.547138,0.549020,0.090196,0.541177
49,0.000000,0.968595,0.078524,0.894122,0.370913,0.180828,-0.910892,0.151350,0.833026,-0.532129,28.727720,0.466626,0.724542,0.651586,119.260200,0.992538,0.459326,0.767239,0.996079,0.003922,0.996079
50,0.000000,0.624645,0.868128,0.955133,-0.086168,-0.370950,-0.924647,0.497215,-0.336065,-0.799899,59.770110,0.596526,0.501224,0.685290,105.890900,0.905482,0.794609,0.110362,0.537255,0.913726,0.258824
51,0.000000,0.678750,0.647696,0.275707,0.537408,-0.465104,-0.703471,0.059442,0.525469,-0.848734,203.439200,0.830530,0.785511,0.941132,9.008446,0.382609,0.873048,0.028338,0.121569,0.121569,0.003922
52,0.000000,0.422146,0.684376,0.975693,0.840988,0.080767,-0.534992,-0.040805,0.211128,-0.976606,21.552240,0.011496,0.324279,0.486975,118.022900,0.578012,0.048750,0.384054,0.156863,0.015686,0.658824
53,0.000000,0.807514,0.666932,0.922732,0.282789,0.019023,-0.958994,-0.034162,-0.428898,-0.902707,51.623460,0.883884,0.103433,0.033983,43.107380,0.703251,0.050765,0.476923,0.396079,0.003922,0.266667
54,0.000000,0.751773,0.048807,0.466930,0.494542,-0.003336,-0.869148,0.005691,-0.577926,-0.816070,262.619000,0.047863,0.493478,0.179344,20.718810,0.753919,0.122402,0.411803,0.117647,0.000000,0.007843
55,0.000000,0.552468,0.606872,0.596619,-0.618538,-0.506626,-0.600617,0.091435,-0.574973,-0.813047,79.617020,0.713022,0.950805,0.336336,110.292100,0.916749,0.685806,0.801409,0.447059,0.466667,0.435294
56,0.000000,0.621412,0.564515,0.092941,0.083432,-0.607295,-0.790083,-0.615315,-0.180465,-0.767346,271.516700,0.727465,0.583619,0.268950,92.937760,0.157112,0.188734,0.854757,0.227451,0.149020,0.000000
57,0.000000,0.708605,0.908135,0.677450,0.320455,-0.636698,-0.701373,-0.278110,-0.722395,-0.633088,102.713700,0.556675,0.737379,0.006462,100.640800,0.824337,0.396744,0.906434,0.623529,0.650980,0.568628
58,0.000000,0.474939,0.829645,0.924851,0.069414,-0.531084,-0.844471,0.341312,-0.163000,-0.925709,374.934600,0.571201,0.226086,0.846613,76.692510,0.620350,0.435436,0.414251,0.231373,0.388235,0.984314
59,0.000000,0.784982,0.015666,0.693353,0.031249,0.161943,-0.986305,0.085933,0.691099,-0.717633,234.408200,0.904944,0.408145,0.812462,51.199640,0.726776,0.280231,0.299715,0.733333,0.003922,0.372549
60,0.000000,0.838420,0.606660,0.948363,-0.564289,0.070533,-0.822559,0.297167,-0.526704,-0.796413,47.100650,0.926618,0.672075,0.274148,109.001900,0.805756,0.160486,0.829189,0.901961,0.094118,0.996079
61,0.000000,0.581988,0.224777,0.715091,0.595925,-0.219105,-0.772572,0.376152,-0.260827,-0.889089,1.305037,0.864960,0.086111,0.895190,60.004100,0.630970,0.477090,0.455914,0.168628,0.000000,0.200000
62,0.000000,0.301064,0.812724,0.239157,-0.157360,0.752250,-0.639811,-0.118559,0.856506,-0.502335,164.190600,0.520821,0.476037,0.262003,43.591680,0.120669,0.184324,0.529145,0.003922,0.168628,0.003922
