sampleNumber,e,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
1,0.000000,0.229775,0.228065,0.543576,-0.756583,-0.123755,-0.642080,0.376434,-0.755185,-0.536651,4.658129,0.244866,0.137150,0.995559,1.471421,0.080944,0.348441,0.579027,0.286275,0.403922,0.717647
2,0.000000,0.586796,0.991653,0.361524,0.252095,-0.713814,-0.653390,-0.697019,0.069899,-0.713638,1.843266,0.970600,0.836622,0.737518,0.118853,0.619893,0.657886,0.646460,0.513726,0.643137,0.372549
3,0.000000,0.985537,0.860417,0.813839,-0.561993,-0.271436,-0.781336,-0.406422,0.261423,-0.875488,0.478896,0.524936,0.084814,0.222784,0.582447,0.221816,0.564799,0.570838,0.631373,0.694118,0.674510
4,0.000000,0.850157,0.248950,0.881177,0.415326,-0.029213,-0.909204,0.323658,0.114479,-0.939223,1.237337,0.541890,0.664224,0.950512,0.064249,0.817835,0.768281,0.595705,0.576471,0.333333,0.725490
5,0.000000,0.340853,0.266714,0.626686,0.177702,0.407092,-0.895934,0.214611,0.451565,-0.866044,5.331541,0.021933,0.131678,0.086946,1.391903,0.595799,0.688509,0.263510,0.537255,0.501961,0.607843
6,0.000000,0.731194,0.868693,0.904510,-0.204878,-0.422799,-0.882760,0.421786,0.097351,-0.901454,3.929557,0.026962,0.619694,0.182539,1.928472,0.340143,0.001045,0.349580,0.741177,0.674510,0.835294
7,0.000000,0.360948,0.039690,0.150207,-0.536675,0.513987,-0.669177,-0.108206,0.720851,-0.684591,3.208905,0.046581,0.417667,0.624352,1.822376,0.946879,0.674919,0.642725,0.654902,0.282353,0.427451
8,0.000000,0.291658,0.039627,0.547403,-0.515024,0.007104,-0.857146,0.102997,0.250714,-0.962566,5.245473,0.898147,0.222277,0.122559,0.711714,0.117968,0.911919,0.995320,0.533333,0.200000,0.658824
9,0.000000,0.453073,0.831454,0.774610,0.343333,0.748937,-0.566760,-0.669323,-0.189722,-0.718341,0.970987,0.712220,0.910643,0.892364,0.403968,0.554855,0.256216,0.187141,0.462745,0.533333,0.478431
10,0.000000,0.867076,0.206764,0.621739,-0.503005,-0.410956,-0.760330,-0.114176,-0.464238,-0.878321,1.522047,0.039057,0.364728,0.680192,0.612010,0.832233,0.535982,0.703039,0.764706,0.356863,0.674510
11,0.000000,0.627018,0.159548,0.359191,-0.122331,-0.666013,-0.735841,0.423924,0.729571,-0.536670,1.831722,0.482331,0.390309,0.786587,0.566361,0.631650,0.488478,0.275139,0.603922,0.294118,0.376471
12,0.000000,0.446730,0.789043,0.263576,0.589859,0.406244,-0.697877,0.554122,-0.582544,-0.594635,4.284916,0.920330,0.695124,0.818970,0.400642,0.794273,0.611207,0.798709,0.627451,0.749020,0.470588
13,0.000000,0.925232,0.710839,0.004240,0.192853,-0.439998,-0.877046,-0.831848,-0.149313,-0.534541,1.743655,0.024045,0.993437,0.940529,1.016347,0.354135,0.321964,0.581240,0.729412,0.698039,0.082353
14,0.000000,0.900765,0.823905,0.144579,0.487827,0.191037,-0.851780,0.753652,0.342060,-0.561252,5.005248,0.780294,0.652830,0.099718,1.303220,0.870606,0.455793,0.067781,1.000000,0.890196,0.188235
15,0.000000,0.811198,0.870202,0.259197,-0.262268,0.236691,-0.935517,-0.231601,-0.514995,-0.825313,6.132652,0.313391,0.508938,0.933994,0.902717,0.207371,0.487158,0.920321,0.658824,0.835294,0.580392
16,0.000000,0.535749,0.224888,0.975308,-0.550057,0.530566,-0.644932,0.404003,-0.102885,-0.908953,2.698946,0.472932,0.363633,0.175572,0.008970,0.418100,0.043322,0.381915,0.352941,0.149020,0.325490
17,0.000000,0.186478,0.545869,0.115708,-0.158093,0.292528,-0.943098,-0.735624,-0.390270,-0.553667,2.714639,0.146268,0.442961,0.757225,0.196841,0.468350,0.682205,0.868131,0.231373,0.494118,0.278431
18,0.000000,0.655744,0.228590,0.813346,-0.636577,-0.475613,-0.607093,0.477499,0.164249,-0.863144,6.062213,0.563533,0.732044,0.833002,0.734939,0.102980,0.298031,0.286788,0.505882,0.368628,0.698039
19,0.000000,0.834937,0.548569,0.320100,-0.425318,0.495137,-0.757591,0.523488,-0.278131,-0.805359,2.727037,0.025778,0.468324,0.377332,1.150025,0.304265,0.189044,0.664422,0.694118,0.521569,0.517647
20,0.000000,0.183981,0.912318,0.023460,0.418679,0.566973,-0.709401,-0.271413,-0.145764,-0.951361,3.912133,0.638847,0.004802,0.216509,1.116360,0.011585,0.609653,0.043095,0.298039,0.839216,0.058824
21,0.000000,0.118222,0.843415,0.957079,0.452921,-0.210408,-0.866367,-0.405482,-0.383799,-0.829628,1.684054,0.652537,0.679533,0.950590,1.011151,0.930065,0.073964,0.346068,0.360784,0.619608,0.847059
22,0.000000,0.130689,0.520804,0.085448,0.754139,0.025529,-0.656218,0.406239,-0.721641,-0.560539,3.140435,0.978395,0.999606,0.301610,0.008124,0.884162,0.952527,0.069652,0.325490,0.627451,0.098039
23,0.000000,0.037549,0.719488,0.646233,-0.399539,-0.434592,-0.807155,0.121470,0.431424,-0.893934,0.875581,0.989900,0.592105,0.275105,0.137198,0.291038,0.375110,0.731657,0.094118,0.470588,0.458824
24,0.000000,0.414492,0.134483,0.877896,0.743547,-0.426842,-0.514727,-0.036503,-0.437220,-0.898614,5.489543,0.964676,0.175692,0.018071,1.548078,0.085494,0.417755,0.356529,0.635294,0.352941,0.784314
25,0.000000,0.649200,0.584128,0.560938,0.298632,0.721796,-0.624364,0.618127,0.186380,-0.763664,4.583506,0.098148,0.097647,0.964189,0.351034,0.735471,0.282262,0.826050,0.576471,0.443137,0.764706
26,0.000000,0.408208,0.346897,0.416626,0.426740,-0.417729,-0.802119,-0.031960,0.744592,-0.666755,4.400282,0.002138,0.987053,0.289288,0.664905,0.931067,0.531949,0.872654,0.549020,0.513726,0.545098
27,0.000000,0.001458,0.039768,0.275216,-0.301774,-0.262147,-0.916630,-0.673362,0.251457,-0.695236,3.067461,0.677170,0.419982,0.483428,0.760706,0.388826,0.700094,0.910332,0.039216,0.192157,0.494118
28,0.000000,0.088003,0.819678,0.974616,0.343494,0.778092,-0.525914,0.188875,-0.505804,-0.841718,5.828143,0.181396,0.666538,0.443180,0.875457,0.491473,0.431724,0.466556,0.274510,0.729412,0.788235
29,0.000000,0.020711,0.654274,0.979067,-0.136010,0.122852,-0.983061,-0.491185,-0.561424,-0.665989,1.389665,0.110984,0.456795,0.447990,1.786426,0.949278,0.531259,0.836796,0.219608,0.772549,0.996079
