sampleNumber,e,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
1,0.000000,0.804531,0.667307,0.385730,-0.345418,0.428893,-0.834708,-0.168923,0.043656,-0.984662,4.312107,0.559763,0.609207,0.726866,1.617570,0.539046,0.581089,0.650537,0.803922,0.698039,0.447059
2,0.000000,0.522035,0.896025,0.824199,-0.508200,0.045439,-0.860040,0.770509,-0.099326,-0.629643,4.565472,0.749833,0.158108,0.482492,0.745895,0.028587,0.352554,0.121590,0.176471,0.454902,0.294118
3,0.000000,0.507540,0.728758,0.967604,0.215752,-0.805296,-0.552222,0.141095,0.640297,-0.755058,0.574805,0.023029,0.949837,0.552855,1.053758,0.727367,0.425935,0.877415,0.411765,0.462745,0.858824
4,0.000000,0.906347,0.188771,0.784296,0.751501,-0.191197,-0.631419,-0.612429,0.052735,-0.788765,3.656220,0.561987,0.577612,0.103378,0.181371,0.407477,0.351778,0.879955,0.258824,0.023529,0.305882
5,0.000000,0.347005,0.897207,0.204945,0.534354,0.335239,-0.775939,-0.287197,-0.397719,-0.871400,5.617858,0.910420,0.088894,0.284271,0.715562,0.321281,0.153034,0.599979,0.282353,0.301961,0.121569
6,0.000000,0.718811,0.521023,0.305860,-0.154618,0.763588,-0.626918,-0.574579,0.279284,-0.769324,4.531571,0.921009,0.282741,0.281114,1.168046,0.423963,0.911324,0.606045,0.772549,0.501961,0.239216
7,0.000000,0.293738,0.655423,0.848135,0.378647,-0.006203,-0.925520,-0.727983,0.123056,-0.674461,2.170821,0.938959,0.823136,0.065191,1.633767,0.470579,0.666083,0.916789,0.258824,0.658824,0.917647
8,0.000000,0.754259,0.455020,0.617830,-0.749103,-0.312119,-0.584318,-0.356968,-0.753124,-0.552611,2.225121,0.111899,0.990768,0.727970,1.352990,0.343061,0.063055,0.774765,0.498039,0.341177,0.647059
9,0.000000,0.539960,0.617131,0.975186,0.212294,-0.505604,-0.836239,-0.091920,-0.260514,-0.961084,5.890575,0.165230,0.630021,0.003258,1.658293,0.090166,0.748278,0.830737,0.219608,0.745098,1.000000
10,0.000000,0.806163,0.442722,0.757444,0.787033,-0.040455,-0.615583,0.325711,-0.175836,-0.928975,0.515014,0.240661,0.223075,0.385911,1.678177,0.203874,0.778741,0.831306,0.454902,0.458824,0.811765
11,0.000000,0.875885,0.348579,0.446571,-0.412024,0.430338,-0.803147,0.278963,-0.640370,-0.715615,4.347397,0.924061,0.519453,0.364347,0.219891,0.874374,0.067259,0.364061,0.533333,0.070588,0.125490
