sampleNumber,e,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
1,0.000000,0.649479,0.879862,0.585943,0.541811,0.042889,-0.839405,-0.664523,0.255702,-0.702158,4.682359,0.587714,0.039264,0.777505,1.264115,0.799021,0.443345,0.954289,0.788235,0.788235,0.784314
2,0.000000,0.369688,0.147202,0.190821,0.075852,0.380191,-0.921793,-0.653263,-0.451356,-0.607886,1.195736,0.112593,0.748313,0.947217,0.826166,0.383631,0.200895,0.746293,0.454902,0.270588,0.400000
3,0.000000,0.426487,0.528539,0.092710,0.016353,-0.831789,-0.554851,-0.787146,0.062323,-0.613610,3.498483,0.267825,0.273827,0.872773,0.194684,0.922584,0.107217,0.038095,0.435294,0.329412,0.196078
4,0.000000,0.490839,0.369488,0.449843,-0.750370,0.101377,-0.653199,-0.361572,-0.742343,-0.564085,4.627522,0.894266,0.944746,0.587432,0.392501,0.573832,0.478419,0.810163,0.650980,0.572549,0.564706
5,0.000000,0.600125,0.562000,0.221975,0.330738,-0.302545,-0.893912,0.329981,0.413842,-0.848438,1.775374,0.364618,0.031168,0.337281,1.044427,0.227752,0.703773,0.293207,0.556863,0.670588,0.360784
6,0.000000,0.563043,0.935617,0.850123,0.841132,0.101933,-0.531137,-0.204127,-0.173708,-0.963409,1.848462,0.967391,0.554876,0.646815,1.721354,0.819901,0.790835,0.883246,0.796079,0.992157,0.968628
7,0.000000,0.091772,0.562794,0.803128,0.732406,-0.106918,-0.672421,0.510618,-0.582117,-0.632779,3.295856,0.669187,0.839484,0.437383,1.152769,0.054806,0.807988,0.538342,0.262745,0.788235,0.800000
8,0.000000,0.824912,0.525634,0.996553,0.041715,0.848689,-0.527244,0.180096,0.338849,-0.923443,3.996647,0.546425,0.494056,0.428528,1.522386,0.281262,0.209665,0.517093,0.800000,0.607843,0.945098
9,0.000000,0.873295,0.757757,0.927107,0.253183,-0.383346,-0.888225,-0.230397,-0.236304,-0.943969,4.200735,0.755318,0.119928,0.797094,0.635539,0.488662,0.942833,0.599892,0.878431,0.745098,0.933333
10,0.000000,0.354658,0.841364,0.992923,-0.111379,0.358780,-0.926753,0.053159,0.381890,-0.922678,3.921912,0.402372,0.381708,0.945837,0.167691,0.758323,0.266259,0.350390,0.431373,0.607843,0.976471
11,0.000000,0.034581,0.991556,0.417541,-0.784929,-0.304580,-0.539554,-0.372647,-0.305100,-0.876384,0.920102,0.502640,0.245406,0.709454,0.682377,0.927663,0.179499,0.879411,0.254902,0.607843,0.572549
12,0.000000,0.142012,0.629578,0.549067,0.313830,0.692191,-0.649910,-0.307470,-0.196829,-0.930978,1.222363,0.395163,0.193862,0.872888,0.672453,0.557146,0.565751,0.688796,0.305882,0.615686,0.619608
13,0.000000,0.064872,0.315723,0.261291,0.080819,0.042330,-0.995830,-0.506366,0.691296,-0.515465,5.386170,0.271628,0.288205,0.327219,0.818381,0.072517,0.387283,0.379052,0.105882,0.435294,0.396079
14,0.000000,0.517437,0.352316,0.833901,0.159663,-0.480302,-0.862449,-0.065406,-0.774342,-0.629378,2.415928,0.180930,0.148689,0.809305,1.904848,0.964675,0.331285,0.722046,0.792157,0.517647,0.992157
15,0.000000,0.089616,0.382216,0.663496,-0.378241,0.662026,-0.647036,0.514609,-0.491674,-0.702449,1.444904,0.643441,0.995771,0.776547,0.300324,0.873357,0.211296,0.836098,0.215686,0.309804,0.568628
16,0.000000,0.957550,0.272353,0.424500,-0.573176,-0.643235,-0.507660,-0.134031,-0.555719,-0.820495,5.991349,0.423795,0.874952,0.079108,0.109589,0.182325,0.502737,0.728428,0.698039,0.537255,0.356863
17,0.000000,0.434934,0.985647,0.208290,-0.063639,-0.727558,-0.683088,-0.188681,0.616786,-0.764182,5.942056,0.412289,0.942899,0.054158,0.440020,0.479407,0.292579,0.929650,0.454902,0.713726,0.364706
18,0.000000,0.465230,0.316276,0.233966,0.563611,-0.207101,-0.799658,0.180476,0.749124,-0.637371,3.659832,0.747725,0.562717,0.312818,0.337870,0.475824,0.654836,0.875024,0.545098,0.435294,0.364706
19,0.000000,0.966524,0.780274,0.335625,0.426442,0.508417,-0.748104,0.606890,-0.286272,-0.741440,4.132085,0.229410,0.209805,0.502169,0.552832,0.882834,0.322207,0.956849,0.819608,0.596079,0.521569
20,0.000000,0.191598,0.542060,0.223804,0.279134,-0.433911,-0.856625,-0.731956,0.435566,-0.523949,5.015260,0.103390,0.869411,0.223896,1.825617,0.120726,0.292117,0.036518,0.301961,0.627451,0.227451
21,0.000000,0.637976,0.121822,0.935170,0.080394,-0.528671,-0.845011,-0.275709,0.254084,-0.927052,2.317117,0.042700,0.992943,0.802862,1.435444,0.917686,0.524627,0.124303,0.815686,0.376471,0.776471
22,0.000000,0.688685,0.665441,0.509365,0.072504,-0.820135,-0.567557,-0.516287,-0.624630,-0.585905,4.468758,0.131801,0.489300,0.930231,1.934267,0.071604,0.231589,0.163742,0.521569,0.713726,0.721569
23,0.000000,0.886089,0.006456,0.164366,-0.658702,-0.547936,-0.515634,0.667636,-0.068191,-0.741359,0.591003,0.464581,0.177993,0.210037,0.330185,0.397480,0.327298,0.877691,0.564706,0.082353,0.305882
24,0.000000,0.986674,0.330519,0.973186,0.744274,0.432681,-0.508766,-0.361743,0.405441,-0.839500,0.798583,0.395779,0.868507,0.507338,1.109905,0.331840,0.666710,0.150104,0.768628,0.533333,0.647059
25,0.000000,0.638225,0.768153,0.540774,-0.138141,-0.755377,-0.640565,-0.671855,-0.150629,-0.725204,4.586104,0.943344,0.059646,0.912499,1.045716,0.678334,0.888239,0.059836,0.847059,0.823530,0.678431
26,0.000000,0.806690,0.095056,0.135166,-0.500961,0.191102,-0.844108,0.692627,0.438392,-0.572783,0.230398,0.963358,0.532116,0.846548,1.669961,0.125208,0.398600,0.750139,0.611765,0.294118,0.392157
27,0.000000,0.385647,0.006250,0.260835,-0.023659,-0.225671,-0.973916,0.074421,-0.384567,-0.920093,0.092538,0.170398,0.979600,0.991107,1.977591,0.994476,0.666314,0.439327,0.698039,0.109804,0.482353
28,0.000000,0.730453,0.513931,0.843097,0.271739,0.250957,-0.929074,-0.740271,-0.341690,-0.579005,2.907773,0.407839,0.510347,0.444624,0.246726,0.783311,0.974266,0.036928,0.584314,0.517647,0.435294
29,0.000000,0.424177,0.091964,0.305040,0.090776,-0.632451,-0.769263,0.003519,-0.322929,-0.946417,6.160573,0.330644,0.915366,0.497565,0.756967,0.262091,0.661444,0.357334,0.498039,0.384314,0.482353
30,0.000000,0.705391,0.810809,0.060915,-0.052106,-0.380195,-0.923437,-0.581852,0.484970,-0.652880,4.883811,0.760844,0.610467,0.456544,0.311120,0.316193,0.913614,0.814335,0.678431,0.745098,0.188235
31,0.000000,0.993450,0.851077,0.163563,-0.186271,0.252136,-0.949595,0.833732,0.052250,-0.549692,5.624543,0.886655,0.484353,0.299559,0.854493,0.200224,0.920047,0.217901,0.882353,0.866667,0.282353
32,0.000000,0.371399,0.909139,0.288952,0.136674,-0.834536,-0.533733,0.015493,-0.560270,-0.828165,1.246613,0.479193,0.488037,0.257945,0.666007,0.624892,0.294430,0.978244,0.501961,0.682353,0.478431
33,0.000000,0.658812,0.566066,0.290667,-0.555358,0.582844,-0.593187,0.578648,-0.456793,-0.675653,3.828480,0.392879,0.401036,0.060608,1.410230,0.225204,0.862928,0.797426,0.600000,0.756863,0.537255
34,0.000000,0.816928,0.624363,0.552905,0.361302,0.279895,-0.889449,0.561055,-0.268241,-0.783112,2.533156,0.138177,0.223764,0.688473,0.094341,0.319246,0.327016,0.040433,0.419608,0.392157,0.537255
35,0.000000,0.327580,0.972750,0.413829,0.153461,0.085471,-0.984451,0.356715,-0.473090,-0.805568,1.395171,0.332329,0.990301,0.057928,1.627709,0.800244,0.805911,0.961134,0.592157,1.000000,0.682353
36,0.000000,0.903951,0.730541,0.193075,0.235647,-0.462177,-0.854905,0.133468,0.209074,-0.968749,5.304174,0.806610,0.682225,0.055015,0.579553,0.661074,0.941872,0.997029,0.941177,0.835294,0.380392
37,0.000000,0.660281,0.762722,0.559556,-0.716032,-0.167575,-0.677656,0.143287,0.829583,-0.539687,2.719023,0.509689,0.056398,0.602636,1.521574,0.475242,0.619597,0.904773,0.733333,0.827451,0.776471
