delta,light_intensity,grey_out
1,0.000100000,0
1,0.000105000,0
1,0.000110250,1
1,0.000115763,0
1,0.000121551,0
1,0.000127628,0
1,0.000134010,0
1,0.000140710,0
1,0.000147746,0
1,0.000155133,0
1,0.000162889,0
1,0.000171034,0
1,0.000179586,0
1,0.000188565,0
1,0.000197993,0
1,0.000207893,0
1,0.000218287,0
1,0.000229202,0
1,0.000240662,0
1,0.000252695,0
1,0.000265330,0
1,0.000278596,0
1,0.000292526,0
1,0.000307152,0
1,0.000322510,0
1,0.000338635,0
1,0.000355567,0
1,0.000373345,0
1,0.000392012,0
1,0.000411613,1
1,0.000432194,0
1,0.000453803,1
1,0.000476494,0
1,0.000500318,0
1,0.000525334,1
1,0.000551601,0
1,0.000579181,0
1,0.000608140,0
1,0.000638547,0
1,0.000670474,0
1,0.000703998,0
1,0.000739198,0
1,0.000776157,0
1,0.000814965,0
1,0.000855713,0
1,0.000898499,0
1,0.000943424,0
1,0.000990595,0
1,0.001040125,0
1,0.001092131,0
1,0.001146737,0
1,0.001204074,0
1,0.001264278,0
1,0.001327492,0
1,0.001393866,0
1,0.001463560,0
1,0.001536738,0
1,0.001613575,0
1,0.001694253,0
1,0.001778966,0
1,0.001867914,0
1,0.001961310,1
1,0.002059375,0
1,0.002162344,1
1,0.002270461,0
1,0.002383984,0
1,0.002503183,1
1,0.002628342,0
1,0.002759759,0
1,0.002897747,0
1,0.003042634,0
1,0.003194765,0
1,0.003354504,0
1,0.003522228,0
1,0.003698340,0
1,0.003883257,0
1,0.004077419,0
1,0.004281290,0
1,0.004495354,0
1,0.004720122,0
1,0.004956128,0
1,0.005203934,0
1,0.005464131,0
1,0.005737337,0
1,0.006024204,0
1,0.006325413,0
1,0.006641684,0
1,0.006973768,0
1,0.007322456,0
1,0.007688578,0
1,0.008073007,0
1,0.008476657,0
1,0.008900490,0
1,0.009345514,1
1,0.009812789,0
1,0.010303430,1
1,0.010818600,0
1,0.011359530,0
1,0.011927510,1
1,0.012523880,0
1,0.013150070,0
1,0.013807580,0
1,0.014497960,0
1,0.015222850,0
1,0.015983990,0
1,0.016783190,0
1,0.017622350,0
1,0.018503470,0
1,0.019428640,0
1,0.020400070,0
1,0.021420070,0
1,0.022491080,0
1,0.023615630,0
1,0.024796410,0
1,0.026036230,0
1,0.027338040,0
1,0.028704940,0
1,0.030140190,0
1,0.031647190,0
1,0.033229550,0
1,0.034891030,0
1,0.036635580,0
1,0.038467360,0
1,0.040390720,0
1,0.042410260,0
1,0.044530770,1
1,0.046757300,0
1,0.049095160,1
1,0.051549920,0
1,0.054127420,0
1,0.056833790,1
1,0.059675470,0
1,0.062659240,0
1,0.065792200,0
1,0.069081810,0
1,0.072535900,0
1,0.076162700,0
1,0.079970830,0
1,0.083969370,0
1,0.088167830,0
1,0.092576220,0
1,0.097205030,0
1,0.102065300,0
1,0.107168500,0
1,0.112527000,0
1,0.118153300,0
1,0.124061000,0
1,0.130264000,0
1,0.136777200,0
1,0.143616100,0
1,0.150796800,0
